plato,calorias,proteina,grasas,carbohidratos,descripcion
Aji de Gallina,450,25,28,20,"Guiso cremoso de pollo deshilachado con pan, leche y ají amarillo. Rico en proteínas y grasas."
Anticuchos,280,30,14,10,"Brochetas de corazón de res marinadas en ají panca y asadas. Alta fuente de proteínas."
Arroz_con_mariscos,400,25,12,50,"Arroz graneado con mezcla de mariscos, ají amarillo y chicha de jora. Rico en carbohidratos y proteínas."
Caldo de Gallina,320,28,12,15,"Sopa concentrada con presa de gallina, fideos y huevo. Energética y rica en proteínas."
Carapulcra,500,22,25,55,"Guiso a base de papa seca, carne y maní. Alta en carbohidratos y grasas saludables."
Cau_cau,350,20,18,25,"Guiso de mondongo con papas amarillas y palillo. Fuente moderada de proteínas y grasas."
Causa_limeña,280,8,18,25,"Plato frío de papa amarilla prensada con limón y ají, rellena con pollo o atún. Balanceado en energía."
Chicharrón_de_pescado,450,35,22,25,"Pescado empanizado y frito, servido con yuca o arroz. Alto en proteínas y grasas."
arroz_con_pollo,500,25,20,60,"Clásico plato criollo con arroz verde, pollo y culantro. Rico en carbohidratos y proteínas."
ceviche,220,30,5,12,"Pescado marinado en limón con cebolla y ají limo. Alto en proteínas y bajo en grasas."
Leche_de_tigre,150,15,4,10,"Jugo ácido del ceviche con pescado licuado. Refrescante y proteico."
Lomo_saltado,480,32,20,40,"Salteado de carne con papas fritas, cebolla y tomate. Rico en proteínas y carbohidratos."
Parihuela,350,30,10,25,"Sopa espesa de mariscos con ajíes. Fuente rica en proteínas marinas."
Sudado_de_pescado,300,28,12,20,"Pescado cocido al vapor con tomate y cebolla. Ligero y nutritivo."
Tacu_tacu,550,20,25,60,"Mezcla de arroz y frijoles fritos. Alto en energía y fibra."
Tallarines_rojos,480,20,18,55,"Pasta en salsa roja con carne o pollo. Fuente importante de carbohidratos."
Tallarines_verdes,460,18,22,50,"Pasta con salsa de albahaca, espinaca y queso. Rica en grasas saludables."
Tiradito,250,28,6,10,"Filetes de pescado en salsa de ají amarillo o rocoto. Alto en proteínas y bajo en grasas."
Adobo_arequipeno,480,35,25,20,"Carne de cerdo cocida en chicha y ají. Rica en proteínas y sabor."
Aguadito,380,28,10,45,"Sopa espesa con pollo, arroz y culantro. Alta en energía y proteínas."
Bisteck,420,35,18,20,"Corte de carne frita con papas y arroz. Alta en proteínas."
Chanfainita,400,25,22,25,"Guiso de bofe con papas y hierbas. Rico en hierro y proteínas."
Chaufa,520,22,18,65,"Arroz frito con pollo, huevo y sillao. Rico en carbohidratos."
pan_con_chicharon,480,25,30,35,"Pan con chicharrón, camote y salsa criolla. Muy energético."
Cuy_chactado,600,40,30,25,"Cuy frito típico del sur andino. Alto en proteínas y grasas."
Humitas,230,6,8,35,"Masa de maíz molido cocido en hoja. Rica en carbohidratos y fibra."
Locro,350,10,18,40,"Guiso de zapallo, papa y queso. Fuente vegetal de energía."
Ocopa,380,12,28,25,"Papas cocidas con salsa de maní y ají mirasol. Alta en grasas saludables."
Olluquito,330,15,10,40,"Guiso de olluco con carne. Fuente de carbohidratos y proteínas."
Pachamanca,550,40,25,45,"Cocido tradicional con carnes, papas y hierbas andinas. Completo en macronutrientes."
Papa_rellena,420,20,18,45,"Papa rellena con carne y frita. Alta en carbohidratos y energía."
Patasca,500,28,20,45,"Sopa espesa de mote y carne. Energética y rica en proteínas."
Pollo_a_la_brasa,650,45,35,40,"Pollo asado con papas fritas y ensalada. Muy energético."
Pure,180,4,9,22,"Puré de papa con mantequilla y leche. Fuente suave de carbohidratos."
Rocoto_relleno,380,22,20,25,"Ají rocoto relleno de carne. Rico en proteínas y moderado en grasas."
Sopa_a_la_minuta,330,20,12,35,"Sopa con carne, leche y fideos. Fuente moderada de energía."
Trucha_frita,400,35,20,15,"Trucha dorada acompañada con papas. Rica en proteínas."
ALFAJORES,300,4,12,45,"Galletas dulces rellenas de manjar blanco. Alta en carbohidratos."
arroz_chaufa,520,22,18,65,"Arroz frito con pollo, huevo y sillao. Energético y sabroso."
Arroz_con_leche,280,7,8,45,"Postre a base de arroz, leche y canela. Dulce y energético."
caldo_de_mote,260,15,8,30,"Sopa de maíz pelado con carne. Rica en fibra."
Dulce_de_higo,240,2,6,50,"Postre dulce a base de higos cocidos en almíbar. Alto en azúcar natural."
Ensalada_de_palta,200,3,18,8,"Rodajas de palta con vegetales. Rica en grasas saludables."
huancaína,350,10,28,25,"Papas con salsa de queso y ají amarillo. Alta en grasas y sabor."
juanes,650,40,28,55,"Arroz con gallina envuelto en hoja de bijao. Completo en proteínas y carbohidratos."
Mazamorra_de_calabaza,210,3,5,40,"Postre suave de calabaza con maicena. Fuente de energía natural."
Mazamorra_de_morada,230,2,4,45,"Postre típico de maíz morado y frutas. Dulce y antioxidante."
Picarones,290,4,14,40,"Dulce tradicional a base de zapallo y camote, frito y bañado con miel. Alto en carbohidratos y energía."
Rusa,160,3,12,12,"Ensalada fría con papa, betarraga, zanahoria, arvejas y mayonesa. Fuente de carbohidratos y grasas."
tacacho,500,12,28,55,"Plátano verde machacado con manteca y chicharrón. Alta en energía."
tallarin_saltado,520,25,18,60,"Fideos salteados al estilo oriental con carne y verduras. Alto en carbohidratos."
tequeños,280,10,15,25,"Masa frita rellena de queso o jamón. Alto en grasas y energía."
